DatasetUUID,Tag
43374f92-89c9-432d-9307-9c22805ed400,exim
43374f92-89c9-432d-9307-9c22805ed400,export-import-bank
43374f92-89c9-432d-9307-9c22805ed400,guarantee
43374f92-89c9-432d-9307-9c22805ed400,insurance
43374f92-89c9-432d-9307-9c22805ed400,loan
43374f92-89c9-432d-9307-9c22805ed400,working-capital
c648f388-54de-4fda-ae97-a9829fe1435f,civil-rights
c648f388-54de-4fda-ae97-a9829fe1435f,discrimination
c648f388-54de-4fda-ae97-a9829fe1435f,elementary-and-secondary
c648f388-54de-4fda-ae97-a9829fe1435f,enrollment-demographics
c648f388-54de-4fda-ae97-a9829fe1435f,language
c648f388-54de-4fda-ae97-a9829fe1435f,minority-groups
c648f388-54de-4fda-ae97-a9829fe1435f,office-for-civil-rights-ocr
c648f388-54de-4fda-ae97-a9829fe1435f,race
c648f388-54de-4fda-ae97-a9829fe1435f,student-retention
c648f388-54de-4fda-ae97-a9829fe1435f,students
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,bev
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,bevs
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,bolt
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,car
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,cars
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,chevrolet
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,chevy
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,clean-energy
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,department-of-licensing
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,dol
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,dol_open_data
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,electric
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,energy
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,environment
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,ev
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,evs
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,green-report
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,hybrid
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,hybrids
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,leaf
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,model-3
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,nhtsa
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,nissan
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,phev
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,phevs
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,plug-in
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,plug-ins
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,population
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,rao_ev
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,rao_open_data
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,rao_veh
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,tesla
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,vehicle
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,vehicles
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,volt
8af1dfa6-688b-4910-9486-b7d804e20525,climate-change
8af1dfa6-688b-4910-9486-b7d804e20525,ghg-reporting
8af1dfa6-688b-4910-9486-b7d804e20525,industry-ghgs
8af1dfa6-688b-4910-9486-b7d804e20525,scope-3
8af1dfa6-688b-4910-9486-b7d804e20525,useeio
cfe64f3a-0d3a-479a-9af2-b8adab37605b,crime
cfe64f3a-0d3a-479a-9af2-b8adab37605b,crime-data
cfe64f3a-0d3a-479a-9af2-b8adab37605b,crimes
cfe64f3a-0d3a-479a-9af2-b8adab37605b,lapd
cfe64f3a-0d3a-479a-9af2-b8adab37605b,police
cfe64f3a-0d3a-479a-9af2-b8adab37605b,safe-city
7c68d9de-f7f0-4570-809e-8a1984082699,1998
7c68d9de-f7f0-4570-809e-8a1984082699,1999
7c68d9de-f7f0-4570-809e-8a1984082699,2000
7c68d9de-f7f0-4570-809e-8a1984082699,2001
7c68d9de-f7f0-4570-809e-8a1984082699,2002
7c68d9de-f7f0-4570-809e-8a1984082699,2003
7c68d9de-f7f0-4570-809e-8a1984082699,2004
7c68d9de-f7f0-4570-809e-8a1984082699,2005
7c68d9de-f7f0-4570-809e-8a1984082699,2006
7c68d9de-f7f0-4570-809e-8a1984082699,2007
7c68d9de-f7f0-4570-809e-8a1984082699,2008
7c68d9de-f7f0-4570-809e-8a1984082699,2009
7c68d9de-f7f0-4570-809e-8a1984082699,2010
7c68d9de-f7f0-4570-809e-8a1984082699,2011
7c68d9de-f7f0-4570-809e-8a1984082699,2012
7c68d9de-f7f0-4570-809e-8a1984082699,2013
7c68d9de-f7f0-4570-809e-8a1984082699,2014
7c68d9de-f7f0-4570-809e-8a1984082699,2015
7c68d9de-f7f0-4570-809e-8a1984082699,2016
7c68d9de-f7f0-4570-809e-8a1984082699,2017
7c68d9de-f7f0-4570-809e-8a1984082699,2018
7c68d9de-f7f0-4570-809e-8a1984082699,2019
7c68d9de-f7f0-4570-809e-8a1984082699,2020
7c68d9de-f7f0-4570-809e-8a1984082699,2021
7c68d9de-f7f0-4570-809e-8a1984082699,2022
7c68d9de-f7f0-4570-809e-8a1984082699,2023
7c68d9de-f7f0-4570-809e-8a1984082699,2024
7c68d9de-f7f0-4570-809e-8a1984082699,baby-names
7c68d9de-f7f0-4570-809e-8a1984082699,births
7c68d9de-f7f0-4570-809e-8a1984082699,social-security
7c68d9de-f7f0-4570-809e-8a1984082699,social-security-administration
7c68d9de-f7f0-4570-809e-8a1984082699,social-security-cards
7c68d9de-f7f0-4570-809e-8a1984082699,ssa
ae888585-6461-46b0-a74f-9ce30cd534aa,civil-rights
ae888585-6461-46b0-a74f-9ce30cd534aa,elementary-and-secondary
ae888585-6461-46b0-a74f-9ce30cd534aa,language
ae888585-6461-46b0-a74f-9ce30cd534aa,minority
ae888585-6461-46b0-a74f-9ce30cd534aa,ocr
ae888585-6461-46b0-a74f-9ce30cd534aa,office-for-civil-rights-ocr
ae888585-6461-46b0-a74f-9ce30cd534aa,race
ae888585-6461-46b0-a74f-9ce30cd534aa,student-enrollment
ae888585-6461-46b0-a74f-9ce30cd534aa,student-retention
ae888585-6461-46b0-a74f-9ce30cd534aa,students
8977aff4-8eb0-43ea-8b79-468c892ec820,advanced-placement
8977aff4-8eb0-43ea-8b79-468c892ec820,civil-rights
8977aff4-8eb0-43ea-8b79-468c892ec820,course-taking
8977aff4-8eb0-43ea-8b79-468c892ec820,data
8977aff4-8eb0-43ea-8b79-468c892ec820,discrimination
8977aff4-8eb0-43ea-8b79-468c892ec820,education-of-children-with-disabilities
8977aff4-8eb0-43ea-8b79-468c892ec820,elementary-and-secondary
8977aff4-8eb0-43ea-8b79-468c892ec820,minority-groups
8977aff4-8eb0-43ea-8b79-468c892ec820,ocr
8977aff4-8eb0-43ea-8b79-468c892ec820,office-for-civil-rights-ocr
8977aff4-8eb0-43ea-8b79-468c892ec820,race
7d134a4e-0efa-4db9-9820-df2861646d07,nps-gov-subject-site-social-science
7d134a4e-0efa-4db9-9820-df2861646d07,public-use-statistics
7d134a4e-0efa-4db9-9820-df2861646d07,statistics
7d134a4e-0efa-4db9-9820-df2861646d07,visitation
7d134a4e-0efa-4db9-9820-df2861646d07,visitation-statistics
7d134a4e-0efa-4db9-9820-df2861646d07,visitor-use
7d134a4e-0efa-4db9-9820-df2861646d07,visitor-use-statistics
5840de55-74b3-4bbf-94ff-1be956f2af9e,big-apps
5840de55-74b3-4bbf-94ff-1be956f2af9e,bigapps
5840de55-74b3-4bbf-94ff-1be956f2af9e,collisions
5840de55-74b3-4bbf-94ff-1be956f2af9e,nycopendata
5840de55-74b3-4bbf-94ff-1be956f2af9e,nypd
5840de55-74b3-4bbf-94ff-1be956f2af9e,traffic-data
5840de55-74b3-4bbf-94ff-1be956f2af9e,vision
5840de55-74b3-4bbf-94ff-1be956f2af9e,visionzero
5840de55-74b3-4bbf-94ff-1be956f2af9e,zero
c8c1dddd-85d0-45ec-bfdc-612ee2502890,1998
c8c1dddd-85d0-45ec-bfdc-612ee2502890,1999
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2000
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2001
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2002
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2003
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2004
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2005
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2006
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2007
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2008
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2009
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2010
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2011
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2012
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2013
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2014
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2015
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2016
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2017
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2018
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2019
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2020
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2021
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2022
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2023
c8c1dddd-85d0-45ec-bfdc-612ee2502890,2024
c8c1dddd-85d0-45ec-bfdc-612ee2502890,baby-names
c8c1dddd-85d0-45ec-bfdc-612ee2502890,births
c8c1dddd-85d0-45ec-bfdc-612ee2502890,social-security
c8c1dddd-85d0-45ec-bfdc-612ee2502890,social-security-administration
c8c1dddd-85d0-45ec-bfdc-612ee2502890,social-security-cards
c8c1dddd-85d0-45ec-bfdc-612ee2502890,ssa
b76be0c6-e1f6-4ac9-a91a-a1284a97afa7,alcohol
b76be0c6-e1f6-4ac9-a91a-a1284a97afa7,arthritis
b76be0c6-e1f6-4ac9-a91a-a1284a97afa7,asthma
b76be0c6-e1f6-4ac9-a91a-a1284a97afa7,cancer
b76be0c6-e1f6-4ac9-a91a-a1284a97afa7,copd
