DatasetUUID,Topic
7d9ac4c6-23a2-46ef-85ff-c52b56e73afe,Local Government
cfe64f3a-0d3a-479a-9af2-b8adab37605b,Local Government
5840de55-74b3-4bbf-94ff-1be956f2af9e,Local Government
d63204ab-d837-4a09-b45d-423d234be7f2,Local Government
ecac4812-4227-471d-8c8f-005bfbdf6856,Local Government
2a384d82-4bd8-4132-8216-08bb238943d5,Local Government
9bb44187-2f7d-479f-ad3e-7e910a73e6b2,ClimateFood Resilience
9bb44187-2f7d-479f-ad3e-7e910a73e6b2,Food Resilience
6a57bf7b-8585-447f-9ed6-a929c555c639,Local Government
94fbed53-9549-4d01-89fe-58f81a970ea3,Local Government
ff8ae99f-8aae-4879-bcb4-a73216296ffd,Local Government
abe99315-7c80-4d92-92fc-55a78ae56d59,ClimateTransportationTransportation Nodes
abe99315-7c80-4d92-92fc-55a78ae56d59,Transportation
abe99315-7c80-4d92-92fc-55a78ae56d59,Transportation Nodes
53db0514-d282-4eeb-8ffc-17320c47381b,Climate
86a694a0-22d7-4f65-a575-f50dd8fbaace,Local Government
738173a7-573a-419e-b4eb-bfec1f564dc5,Local Government
08fad2fe-fb18-49cb-bf55-d996c005cf98,Climate
d32fe23c-b7f4-47aa-a1b2-5b8d67975757,Local Government
7aa7814a-aa43-4611-b2eb-f90809d4b674,Local Government
00f8702a-ab1d-41c6-ad16-4c18e6d65f30,Local Government
87580820-a6c1-4626-afc7-cd0f24a86ef6,Local Government
38239784-4301-44f1-a997-e8c380163296,Local Government
49df3a5f-516e-4f23-8d60-9ad85e0301cf,Local Government
e22b8833-c065-4d38-a993-87d639fd1316,ClimateFood ResilienceFood Safety and NutritionHuman Health
e22b8833-c065-4d38-a993-87d639fd1316,Food Resilience
e22b8833-c065-4d38-a993-87d639fd1316,Food Safety and Nutrition
e22b8833-c065-4d38-a993-87d639fd1316,Human Health
d73192d0-beb7-458b-9b1c-81737a368ce3,Local Government
c1ac94cd-6c31-464f-9b95-f63d1c38e86f,Local Government
7b069c7e-093a-494e-9acb-a51908ab28e9,Older Adults Health Data Collection
e9e9285a-07c0-4591-a76a-a916b7691e24,Local Government
2aba1e81-3e26-4a24-92e0-87b886188582,Local Government
c888d459-850a-4665-93da-3a93802b8393,Local Government
9cb87779-7640-42b5-bc9e-93d7b0d3f1d6,Local Government
cbc48283-0b5d-47db-b274-f4cb4f79ad39,Local Government
a2a2cb92-ed52-4230-b3e4-31cf81a15b2d,Local Government
d8aa6f70-6776-4f58-9114-e7a9089a7c7c,Local Government
18b3c397-11ab-435a-94a2-c928548ebb7a,Local Government
c9f66995-fdb5-4893-8289-c6be8a9e2f07,ClimateEcosystem VulnerabilityBiodiversity
c9f66995-fdb5-4893-8289-c6be8a9e2f07,Ecosystem Vulnerability
c9f66995-fdb5-4893-8289-c6be8a9e2f07,Biodiversity
85c09ce0-96bc-4631-aec8-1bd9f35a708b,Local Government
f33bcac6-5beb-435b-9e24-bb3ae10abbb7,Local Government
03034ff9-12f6-4a0d-a4ce-6774508ddcd7,Local Government
33c34a11-d5e5-4222-8add-961dd449ebcb,Climate
3ddb88e8-b483-4bb2-b2eb-f36f044136aa,Climate
ac67161f-02d8-432b-8b94-10343b23ab88,Climate
ac67161f-02d8-432b-8b94-10343b23ab88,Older Adults Health Data Collection
69769505-ecf3-4d8f-b8a4-0d03e2ef1fd6,Local Government
3cb73d63-0852-44c5-af11-71cf6879165d,Local Government
b9e4974b-95a9-45a7-83e5-0e61f0c29b67,Local Government
90884e72-7473-4a60-a868-6eb4944b459c,Local Government
6d07f0bf-28ae-48fe-ae60-0f6add40130b,ClimateEnergy Infrastructure
6d07f0bf-28ae-48fe-ae60-0f6add40130b,Energy Infrastructure
197e0b2c-3c62-4ce3-bf27-ab67e0d37dd8,Older Adults Health Data Collection
5fa2a198-3bb5-470a-8476-21535263ed29,ClimateFood ResilienceFood SecurityHuman HealthTransportationTransportation Nodes
5fa2a198-3bb5-470a-8476-21535263ed29,Food Resilience
5fa2a198-3bb5-470a-8476-21535263ed29,Food Security
5fa2a198-3bb5-470a-8476-21535263ed29,Human Health
5fa2a198-3bb5-470a-8476-21535263ed29,Transportation
5fa2a198-3bb5-470a-8476-21535263ed29,Transportation Nodes
da091488-3c61-448a-ba3f-a03a28d36919,Local Government
198a2379-2972-463e-a3d4-ece7a3aeeaf8,Local Government
deda3aa7-83a0-4dc6-8b07-03f68d4d14d3,Local Government
83878481-29f6-4c9b-8408-bf6e45d38d7c,ClimateWater
83878481-29f6-4c9b-8408-bf6e45d38d7c,Water
0086438e-c27f-4aca-9dfd-bba5aa188fa3,Local Government
82b91d70-8c67-4d56-aa02-d79f1549a3eb,"ClimateCoastal FloodingEcosystem VulnerabilityAtmospheric, Earth and Ocean Sciences"
82b91d70-8c67-4d56-aa02-d79f1549a3eb,Coastal Flooding
82b91d70-8c67-4d56-aa02-d79f1549a3eb,Ecosystem Vulnerability
82b91d70-8c67-4d56-aa02-d79f1549a3eb,"Atmospheric, Earth and Ocean Sciences"
1905966e-9861-4aa2-8a45-ede474b1ac2d,Local Government
90ee3b4c-17f9-473e-85bc-a8b22a0cffc0,Local Government
5120ce1c-90d3-49d2-8913-417a187ee26c,Local Government
2e1d25cc-b96d-4ac6-b02d-60c3a791fffb,ClimateFood ResilienceFood Safety and NutritionHuman Health
2e1d25cc-b96d-4ac6-b02d-60c3a791fffb,Food Resilience
2e1d25cc-b96d-4ac6-b02d-60c3a791fffb,Food Safety and Nutrition
2e1d25cc-b96d-4ac6-b02d-60c3a791fffb,Human Health
e145ae61-c035-43be-887e-5ae360509505,Local Government
c1fc3399-4c4a-4e4b-9979-6811e8c2a1da,ClimateEnergy InfrastructureEnergy ResourcesEnergy DemandEnergy Supply
c1fc3399-4c4a-4e4b-9979-6811e8c2a1da,Energy Infrastructure
c1fc3399-4c4a-4e4b-9979-6811e8c2a1da,Energy Resources
c1fc3399-4c4a-4e4b-9979-6811e8c2a1da,Energy Demand
c1fc3399-4c4a-4e4b-9979-6811e8c2a1da,Energy Supply
ffa787e2-67f1-437e-b6b4-777c5ff85a85,Local Government
b9c74893-4b61-48ed-b94f-aca06f61eda2,Older Adults Health Data Collection
e274a2f0-9c48-42df-9574-1fc87f9ee81c,ClimateFood ResilienceFood DistributionFood Production
e274a2f0-9c48-42df-9574-1fc87f9ee81c,Food Resilience
e274a2f0-9c48-42df-9574-1fc87f9ee81c,Food Distribution
e274a2f0-9c48-42df-9574-1fc87f9ee81c,Food Production
6e8fe854-d803-420e-a458-7685d92f75a4,Local Government
8e2a467d-3e69-4019-b8ea-24ab10582f78,Local Government
f925c7f5-ee92-4836-bdf8-8c73d4088e39,Older Adults Health Data Collection
20a75055-87e4-4c2a-a511-d59b2f57c684,Local Government
ddf5ca33-5ce7-48e1-80c1-54cf9be97868,ClimateHuman Health
ddf5ca33-5ce7-48e1-80c1-54cf9be97868,Human Health
ddf5ca33-5ce7-48e1-80c1-54cf9be97868,Local Government
24ea9903-0e0a-491c-aa28-375c4b3b203d,Local Government
69dbeda1-8065-48bb-8777-5491fd7d0f8f,Local Government
208d81f3-25e7-409d-96a7-20044260568b,Local Government
1ceb6f6c-a90b-4365-9b30-efd5745aeb36,Local Government
25d8329e-22f2-4dd2-a3fe-7620ed4cea88,Local Government
f0b7d466-dfa0-4b3f-a358-c827dd1283ad,Local Government
cdacc6a5-33a8-44ed-a049-4c4c883cdd7f,ClimateFood Resilience
cdacc6a5-33a8-44ed-a049-4c4c883cdd7f,Food Resilience
e670576a-1f20-4375-badf-0ad3a8ea9f2c,Local Government
d6ce119f-380e-4223-a4b6-319578b51961,Local Government
9f2d7aad-63bc-428d-966e-51759302ef61,Local Government
939a9141-2c30-4c84-b7b6-2892ec3abb0f,Local Government
7d82c463-2b62-414b-a684-86095e522cfb,Local Government
45068a6c-81a2-4f9d-8d20-ee5b4df7de93,Local Government
23852516-0c1d-491c-9107-c507f4e944ac,Local Government
d16561fb-69f3-4c80-aee2-6e82d821405b,Local Government
dc38ada6-456f-4186-b490-a682b2c83e58,Local Government
37542df9-4b70-491b-8008-b2ac16536e46,Local Government
411c73fc-5941-4475-8024-e09fc192ef7f,Energy
8dc34659-1e46-4d53-83c7-491736d2af56,Local Government
822bcf36-0dff-4484-8177-a0cd869c5f94,Local Government
a8889698-cdaa-4598-be74-334e30ca5264,ClimateHuman Health
a8889698-cdaa-4598-be74-334e30ca5264,Human Health
4805a924-660d-4576-b579-b2eb13b9209c,Local Government
9e759234-6749-4610-a19a-578dbc7bfe56,Local Government
69ca9928-21ed-43dc-9ba8-d17b5ce34f47,Local Government
1b21cf4f-6a37-4644-8f13-01d42f9febdb,Local Government
b8e45fd9-1a51-4575-8ad4-58c33130ab2e,Climate
2b1732e4-eef4-44c5-9acc-d0e9fa73eb3d,Local Government
84c06e31-009f-4088-8a84-db3c79f76117,Local Government
83c62b95-a3a6-46eb-85f2-3b0e03af3504,Older Adults Health Data Collection
3843aedf-872f-4e55-8ddb-2d97a8781a94,Local Government
dd33f1ed-ff81-428c-9ac6-57cc6691481a,ClimateEnergy InfrastructureTransportationTransportation Nodes
dd33f1ed-ff81-428c-9ac6-57cc6691481a,Energy Infrastructure
dd33f1ed-ff81-428c-9ac6-57cc6691481a,Transportation
dd33f1ed-ff81-428c-9ac6-57cc6691481a,Transportation Nodes
d4e89c90-9200-4f5e-bd79-1ef3ec4555ff,ClimateFood ResilienceFood Safety and NutritionHuman Health
d4e89c90-9200-4f5e-bd79-1ef3ec4555ff,Food Resilience
d4e89c90-9200-4f5e-bd79-1ef3ec4555ff,Food Safety and Nutrition
d4e89c90-9200-4f5e-bd79-1ef3ec4555ff,Human Health
177bf5e0-c68f-4570-b191-37dd588e49ca,Local Government
a6913102-46eb-4010-b081-b3455d33a889,ClimateFood ResilienceFood Safety and NutritionHuman Health
a6913102-46eb-4010-b081-b3455d33a889,Food Resilience
a6913102-46eb-4010-b081-b3455d33a889,Food Safety and Nutrition
a6913102-46eb-4010-b081-b3455d33a889,Human Health
5366fca8-6d96-4616-8bf2-66551e43a190,Local Government
80214d16-c2bd-4f49-9f78-254c7855a358,ClimateArcticArctic Development and TransportTransportationTransportation Nodes
80214d16-c2bd-4f49-9f78-254c7855a358,Arctic
80214d16-c2bd-4f49-9f78-254c7855a358,Arctic Development and Transport
80214d16-c2bd-4f49-9f78-254c7855a358,Transportation
80214d16-c2bd-4f49-9f78-254c7855a358,Transportation Nodes
a5d8cfc2-5dc4-4a57-8e47-d6b1e91dcb1d,Local Government
750a14a4-0590-4142-a353-17afb330c335,Local Government
f61af271-2b74-468e-938c-e64f47f98979,Local Government
54026d79-5c3e-40c4-9a6d-eac1c0ba4578,Older Adults Health Data Collection
